No,S0,S1,S2,S3,DOP_calculated,Azimuth_original [°],PER_original [dB],Intensity_original [%],Timestamp,DOP [%],Azimuth_calculated [°],Ellipticity_angle [°],Ellipticity_ratio,Linear_DOP [%],Circular_DOP [%]
291,0.081,0.00726070360741889,0.03735308190231695,0.05354752035831367,0.8110000000000002,39.5,4.8,8.1,"28.05.2025, 19:38:02",81.10000000000002,39.5,27.300722916752616,0.5161544661732455,46.978034743110804,66.10804982507861
292,0.081,0.0076420243102768475,0.03722903951125284,0.053481493822730056,0.8099999999999999,39.2,4.8,8.1,"28.05.2025, 19:38:03",81.0,39.2,27.30072291667686,0.516154466171571,46.920108683008316,66.02653558361735
293,0.081,0.008031459757852178,0.037146972590606744,0.053481493822730056,0.8099999999999999,38.9,4.8,8.1,"28.05.2025, 19:38:04",81.0,38.9,27.30072291667686,0.516154466171571,46.920108683008316,66.02653558361735
294,0.081,0.008409619385771854,0.03701507797212157,0.05341546728714644,0.809,38.6,4.8,8.1,"28.05.2025, 19:38:05",80.9,38.6,27.30072291660091,0.5161544661698922,46.86218262290584,65.9450213421561
295,0.081,0.008568119643023795,0.0365303645118531,0.053723082891937377,0.809,38.4,4.7,8.1,"28.05.2025, 19:38:06",80.9,38.4,27.534227890003187,0.5213265627921964,46.32312318358426,66.32479369374985
296,0.081,0.008430119358487156,0.036514858618622956,0.05365667611456785,0.8079999999999998,38.5,4.7,8.1,"28.05.2025, 19:38:07",80.79999999999998,38.5,27.53422788992571,0.5213265627904766,46.26586345158971,66.242810017985
297,0.081,0.008812032846183381,0.0364245780957604,0.05365667611456785,0.8079999999999998,38.2,4.7,8.1,"28.05.2025, 19:38:08",80.79999999999998,38.2,27.53422788992571,0.5213265627904766,46.26586345158971,66.242810017985
298,0.081,0.009181602544686366,0.036285339960898104,0.05359026933719835,0.807,37.9,4.7,8.1,"28.05.2025, 19:38:09",80.7,37.9,27.53422788984805,0.5213265627887529,46.20860371959518,66.16082634222018
299,0.081,0.009434696198776056,0.03622035655544187,0.05359026933719835,0.807,37.7,4.7,8.1,"28.05.2025, 19:38:10",80.7,37.7,27.53422788984805,0.5213265627887529,46.208603719595196,66.16082634222018
300,0.081,0.009789149773855945,0.03603005679944765,0.05345745578245932,0.8050000000000002,37.4,4.7,8.1,"28.05.2025, 19:38:11",80.50000000000001,37.4,27.53422788969215,0.5213265627852924,46.09408425560609,65.99685899069053
301,0.081,0.010027973819994727,0.035916166321053815,0.0533910490050898,0.8039999999999999,37.2,4.7,8.1,"28.05.2025, 19:38:12",80.39999999999999,37.2,27.534227889613913,0.5213265627835557,46.03682452361155,65.91487531492568
302,0.081,0.010268275404746691,0.03534363576659536,0.053628180838161156,0.803,36.9,4.6,8.1,"28.05.2025, 19:38:13",80.30000000000001,36.9,27.76909273645955,0.5265509982648915,45.43830588618887,66.20763066439649
303,0.081,0.010651070912960171,0.03527804885955984,0.05369496562127219,0.8039999999999999,36.6,4.6,8.1,"28.05.2025, 19:38:14",80.39999999999999,36.6,27.769092736539378,0.526550998266671,45.49489157222397,66.29008101391628
304,0.081,0.011006204662694067,0.035120841788208554,0.053628180838161156,0.803,36.3,4.6,8.1,"28.05.2025, 19:38:15",80.30000000000001,36.3,27.76909273645955,0.5265509982648915,45.43830588618887,66.20763066439649
305,0.081,0.011237112825032437,0.034999508453570506,0.05356139605505012,0.802,36.1,4.6,8.1,"28.05.2025, 19:38:16",80.2,36.1,27.769092736379534,0.5265509982631077,45.38172020015377,66.12518031487669
306,0.08,0.011445468047103544,0.034406346292005785,0.052834183972285516,0.8009999999999999,35.8,4.6,8.0,"28.05.2025, 19:38:17",80.1,35.8,27.7690927354951,0.5265509982433916,45.325134514118666,66.0427299653569
307,0.081,0.011674293472225677,0.034293011764565944,0.053728393015608535,0.8000000000000002,35.6,4.5,8.1,"28.05.2025, 19:38:18",80.00000000000001,35.6,28.005343786248105,0.5318290721370218,44.72305989656425,66.33134940198585
308,0.081,0.011793927298483057,0.03425205195077231,0.053728393015608535,0.8000000000000002,35.5,4.5,8.1,"28.05.2025, 19:38:19",80.00000000000001,35.5,28.005343786248105,0.5318290721370218,44.723059896564244,66.33134940198585
309,0.081,0.011913417419458238,0.03421067478653495,0.053728393015608535,0.8000000000000002,35.4,4.5,8.1,"28.05.2025, 19:38:20",80.00000000000001,35.4,28.005343786248105,0.5318290721370218,44.72305989656425,66.33134940198585
310,0.08,0.012206357509916728,0.03353669163228655,0.05293241682278469,0.7979999999999999,35.0,4.5,8.0,"28.05.2025, 19:38:21",79.8,35.0,28.005343785262088,0.5318290721149451,44.61125224682283,66.16552102848087
311,0.08,0.012440188423411973,0.033450658607701377,0.05293241682278469,0.7979999999999999,34.8,4.5,8.0,"28.05.2025, 19:38:22",79.8,34.8,28.005343785262088,0.5318290721149451,44.611252246822836,66.16552102848087
312,0.08,0.012673413019673944,0.0333629952452075,0.05293241682278469,0.7979999999999999,34.6,4.5,8.0,"28.05.2025, 19:38:23",79.8,34.6,28.005343785262088,0.5318290721149451,44.61125224682283,66.16552102848087
313,0.08,0.012714829239372073,0.0327807867854954,0.05309327203269261,0.796,34.4,4.4,8.0,"28.05.2025, 19:38:24",79.60000000000001,34.4,28.243010186590677,0.5371621756760815,43.9503780000543,66.36659004086576
